algorithm,hit_rate,jfi,angle_degrees,traffic_type,num_servers,capacity,num_requests,run_id,skew_fraction,workload_mode
Optimal_QLRU,0.683307,0.9989553906736545,1.8521460177482607,real,2,10,1000000,0,0.0,uniform
qlearning_balancer[qlearn],0.464809,0.999692690929,1.0044598190756098,real,2,10,1000000,0,0.0,uniform
qlearning_balancer[lru],0.575222,0.9529678303843128,12.52520143684568,real,2,10,1000000,0,0.0,uniform
qlearning_balancer[oracle],0.588019,0.9952051456257562,3.9706171873439113,real,2,10,1000000,0,0.0,uniform
qlearning_balancer[nocache],0.0,0.9145447303322649,16.997341548696433,real,2,10,1000000,0,0.0,uniform
Optimal_QLRU,0.684156,0.9999483483714079,0.41178296929400904,real,2,10,1000000,1,0.0,uniform
qlearning_balancer[qlearn],0.45382,0.999997657824194,0.08768646196125249,real,2,10,1000000,1,0.0,uniform
qlearning_balancer[lru],0.574939,0.9716493312171794,9.69344271254028,real,2,10,1000000,1,0.0,uniform
qlearning_balancer[oracle],0.592828,0.9996347820667958,1.095027733346096,real,2,10,1000000,1,0.0,uniform
qlearning_balancer[nocache],0.0,0.8780925912630946,20.435481783702357,real,2,10,1000000,1,0.0,uniform
Optimal_QLRU,0.689483,0.9992049528823072,1.6157591736312076,real,2,10,1000000,12,0.0,uniform
qlearning_balancer[qlearn],0.389449,0.990280492566413,5.657841836298245,real,2,10,1000000,12,0.0,uniform
qlearning_balancer[lru],0.575628,0.9771404157879237,8.69611899756122,real,2,10,1000000,12,0.0,uniform
qlearning_balancer[oracle],0.596237,0.9708136938654474,9.836662102474767,real,2,10,1000000,12,0.0,uniform
qlearning_balancer[nocache],0.0,0.9121256731583605,17.24366871300218,real,2,10,1000000,12,0.0,uniform
Optimal_QLRU,0.676821,0.9999781986822023,0.267525745703205,real,2,10,1000000,13,0.0,uniform
qlearning_balancer[qlearn],0.428389,0.9934205799710404,4.652579749461764,real,2,10,1000000,13,0.0,uniform
qlearning_balancer[lru],0.575467,0.8963969987104896,18.776306549702984,real,2,10,1000000,13,0.0,uniform
