algorithm,capacity,run_id,hit_rate,jfi
qlearning_balancer[lru],300,3,0.121779,0.2931758778487428
qlearning_balancer[oracle],300,3,0.158197,0.3036294792387582
qlearning_balancer[nocache],300,3,0.0,0.2577113960154446
Optimal_QLRU,300,4,0.186458,0.35872221320863973
qlearning_balancer[qlearn],300,4,0.096935,0.3768963166484056
qlearning_balancer[lru],300,4,0.121741,0.35006971051119085
qlearning_balancer[oracle],300,4,0.158365,0.3779756341964759
qlearning_balancer[nocache],300,4,0.0,0.2914480676006282
Optimal_QLRU,1000,0,0.199705,0.36718019751550635
qlearning_balancer[qlearn],1000,0,0.155127,0.3781744298058317
qlearning_balancer[lru],1000,0,0.204237,0.3271904953825936
qlearning_balancer[oracle],1000,0,0.259559,0.37817779003476065
qlearning_balancer[nocache],1000,0,0.0,0.2466685966105185
Optimal_QLRU,1000,1,0.191329,0.36106547351717344
qlearning_balancer[qlearn],1000,1,0.15439,0.36291853294015175
qlearning_balancer[lru],1000,1,0.204022,0.3655310349172405
qlearning_balancer[oracle],1000,1,0.25965,0.40708607484566767
qlearning_balancer[nocache],1000,1,0.0,0.27648289316914354
Optimal_QLRU,1000,2,0.197492,0.3653724537112253
qlearning_balancer[qlearn],1000,2,0.155722,0.3776567424532764
qlearning_balancer[lru],1000,2,0.204264,0.33016934002939025
qlearning_balancer[oracle],1000,2,0.259627,0.3778500665414627
qlearning_balancer[nocache],1000,2,0.0,0.26354177634561804
Optimal_QLRU,1000,3,0.186402,0.3579582831833263
qlearning_balancer[qlearn],1000,3,0.153363,0.3185471199695306
qlearning_balancer[lru],1000,3,0.204044,0.31448961562657474
qlearning_balancer[oracle],1000,3,0.259449,0.34497001557436824
qlearning_balancer[nocache],1000,3,0.0,0.2577113960154446
Optimal_QLRU,1000,4,0.197422,0.3666427019232832
qlearning_balancer[qlearn],1000,4,0.156574,0.44392755103739034
qlearning_balancer[lru],1000,4,0.203958,0.40063908636948103
qlearning_balancer[oracle],1000,4,0.259329,0.4347095168862996
qlearning_balancer[nocache],1000,4,0.0,0.2914480676006282
Optimal_QLRU,3000,0,0.199705,0.36718019751550635
qlearning_balancer[qlearn],3000,0,0.230188,0.4928335366801142
qlearning_balancer[lru],3000,0,0.307843,0.4021227303140239
qlearning_balancer[oracle],3000,0,0.390973,0.5354659107187948
qlearning_balancer[nocache],3000,0,0.0,0.2466685966105185
Optimal_QLRU,3000,1,0.191329,0.36106547351717344
qlearning_balancer[qlearn],3000,1,0.232174,0.3771570786075856
qlearning_balancer[lru],3000,1,0.307751,0.458432147513704
qlearning_balancer[oracle],3000,1,0.391526,0.5834046749512414
qlearning_balancer[nocache],3000,1,0.0,0.27648289316914354
Optimal_QLRU,3000,2,0.197492,0.3653724537112253
qlearning_balancer[qlearn],3000,2,0.228322,0.5082879022359567
qlearning_balancer[lru],3000,2,0.30766,0.42889094154868374
qlearning_balancer[oracle],3000,2,0.39131,0.5691402722814761
qlearning_balancer[nocache],3000,2,0.0,0.26354177634561804
Optimal_QLRU,3000,3,0.186402,0.3579582831833263
qlearning_balancer[qlearn],3000,3,0.231882,0.32907763280520025
qlearning_balancer[lru],3000,3,0.30771,0.3790757876944193
qlearning_balancer[oracle],3000,3,0.3912,0.4929011047456862
qlearning_balancer[nocache],3000,3,0.0,0.2577113960154446
Optimal_QLRU,3000,4,0.197422,0.3666427019232832
qlearning_balancer[qlearn],3000,4,0.229929,0.6316068770400557
qlearning_balancer[lru],3000,4,0.307661,0.46611004605982154
qlearning_balancer[oracle],3000,4,0.390586,0.6316068770556644
qlearning_balancer[nocache],3000,4,0.0,0.2914480676006282
Optimal_QLRU,10000,0,0.199705,0.36718019751550635
qlearning_balancer[qlearn],10000,0,0.347361,0.6051307054498898
qlearning_balancer[lru],10000,0,0.466734,0.542903921492554
qlearning_balancer[oracle],10000,0,0.54819,0.9180718577374665
qlearning_balancer[nocache],10000,0,0.0,0.2466685966105185
Optimal_QLRU,10000,1,0.191329,0.36106547351717344
qlearning_balancer[qlearn],10000,1,0.35142,0.7482145970691343
qlearning_balancer[lru],10000,1,0.467245,0.6893945615678981
qlearning_balancer[oracle],10000,1,0.548568,0.9104098890952907
qlearning_balancer[nocache],10000,1,0.0,0.27648289316914354
Optimal_QLRU,10000,2,0.197492,0.3653724537112253
qlearning_balancer[qlearn],10000,2,0.349878,0.8140827065241569
qlearning_balancer[lru],10000,2,0.467015,0.6952292853209195
qlearning_balancer[oracle],10000,2,0.548369,0.8772151127310038
qlearning_balancer[nocache],10000,2,0.0,0.26354177634561804
Optimal_QLRU,10000,3,0.186402,0.3579582831833263
qlearning_balancer[qlearn],10000,3,0.348653,0.6442952362156966
qlearning_balancer[lru],10000,3,0.466828,0.5082673656951211
qlearning_balancer[oracle],10000,3,0.548239,0.9224097664194211
qlearning_balancer[nocache],10000,3,0.0,0.2577113960154446
Optimal_QLRU,10000,4,0.197422,0.3666427019232832
qlearning_balancer[qlearn],10000,4,0.345364,0.6717717099554988
qlearning_balancer[lru],10000,4,0.466396,0.6638073473081169
qlearning_balancer[oracle],10000,4,0.547531,0.9554565304237935
qlearning_balancer[nocache],10000,4,0.0,0.2914480676006282
Optimal_QLRU,30000,0,0.199705,0.36718019751550635
qlearning_balancer[qlearn],30000,0,0.483708,0.8693075712119139
qlearning_balancer[lru],30000,0,0.668236,0.8574163203211449
qlearning_balancer[oracle],30000,0,0.641294,0.8314286570065554
qlearning_balancer[nocache],30000,0,0.0,0.2466685966105185
Optimal_QLRU,30000,1,0.191329,0.36106547351717344
qlearning_balancer[qlearn],30000,1,0.481827,0.7926956179142047
qlearning_balancer[lru],30000,1,0.669357,0.9036520315461167
qlearning_balancer[oracle],30000,1,0.641653,0.8524553231399897
qlearning_balancer[nocache],30000,1,0.0,0.27648289316914354
Optimal_QLRU,30000,2,0.197492,0.3653724537112253
qlearning_balancer[qlearn],30000,2,0.483624,0.826409036681631
qlearning_balancer[lru],30000,2,0.669196,0.8662026434242422
qlearning_balancer[oracle],30000,2,0.641164,0.8879014442151056
qlearning_balancer[nocache],30000,2,0.0,0.26354177634561804
Optimal_QLRU,30000,3,0.186402,0.3579582831833263
qlearning_balancer[qlearn],30000,3,0.486905,0.6050616372685135
qlearning_balancer[lru],30000,3,0.669101,0.913794025798497
qlearning_balancer[oracle],30000,3,0.640786,0.9192884211936025
qlearning_balancer[nocache],30000,3,0.0,0.2577113960154446
Optimal_QLRU,30000,4,0.197422,0.3666427019232832
qlearning_balancer[qlearn],30000,4,0.486971,0.7971959988586274
qlearning_balancer[lru],30000,4,0.668203,0.9448473313778017
qlearning_balancer[oracle],30000,4,0.640501,0.9357086951353661
qlearning_balancer[nocache],30000,4,0.0,0.2914480676006282
