algorithm,hit_rate,jfi,angle_degrees,traffic_type,num_servers,capacity,num_requests,run_id,skew_fraction,skew_mode,exclude_top_k,workload_mode
qlearning_balancer[qlearn],0.0021,0.9995439502877226,1.2236627534760491,irm,2,10,10000,6,0.0,index,10,uniform
qlearning_balancer[lru],0.0095,0.9999364924714561,0.4566041300058941,irm,2,10,10000,6,0.0,index,10,uniform
qlearning_balancer[oracle],0.012,0.9998018406148369,0.8065741511338507,irm,2,10,10000,6,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9999412726383657,0.43908351123381445,irm,2,10,10000,6,0.0,index,10,uniform
Optimal_QLRU,0.0447,0.9998882327283628,0.6057425025454317,irm,2,10,10000,7,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0076,0.9994481848787223,1.3460443852362756,irm,2,10,10000,7,0.0,index,10,uniform
qlearning_balancer[lru],0.0093,0.9985641473478178,2.1716086106217496,irm,2,10,10000,7,0.0,index,10,uniform
qlearning_balancer[oracle],0.0111,0.9996116033800679,1.1292457646593177,irm,2,10,10000,7,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9991061824532974,1.7132146850623262,irm,2,10,10000,7,0.0,index,10,uniform
Optimal_QLRU,0.0027,0.9998057801539103,0.7985157641598944,irm,2,10,10000,11,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0101,0.9998630511947404,0.6705198968083484,irm,2,10,10000,11,0.0,index,10,uniform
qlearning_balancer[lru],0.0112,0.9995407653820207,1.227928806556898,irm,2,10,10000,11,0.0,index,10,uniform
qlearning_balancer[oracle],0.0114,0.9992396428339938,1.5801070322540445,irm,2,10,10000,11,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9996464825690872,1.0773421223573725,irm,2,10,10000,11,0.0,index,10,uniform
Optimal_QLRU,0.026,0.9956472939538342,3.7828390637855644,irm,2,10,10000,12,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0076,0.9993533503225888,1.4571490657982928,irm,2,10,10000,12,0.0,index,10,uniform
qlearning_balancer[lru],0.0106,0.9989419369648052,1.8640391019099678,irm,2,10,10000,12,0.0,index,10,uniform
qlearning_balancer[oracle],0.0157,0.9994471885142977,1.34725927845465,irm,2,10,10000,12,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9979276203352802,2.609200249748632,irm,2,10,10000,12,0.0,index,10,uniform
Optimal_QLRU,0.0113,0.9987268866152095,2.044788380085993,irm,2,10,10000,14,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0123,0.9813479715629946,7.84955569215197,irm,2,10,10000,14,0.0,index,10,uniform
qlearning_balancer[lru],0.0094,0.9783151260004832,8.468048151580076,irm,2,10,10000,14,0.0,index,10,uniform
qlearning_balancer[oracle],0.0109,0.9801581794159654,8.097671506713128,irm,2,10,10000,14,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9714104417694143,9.734592524891772,irm,2,10,10000,14,0.0,index,10,uniform
Optimal_QLRU,0.0236,0.9997315472725958,0.9388062579766548,irm,2,10,10000,15,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0081,0.9992199546842718,1.6004386346863604,irm,2,10,10000,15,0.0,index,10,uniform
qlearning_balancer[lru],0.0097,0.999641802481196,1.0844507903904703,irm,2,10,10000,15,0.0,index,10,uniform
qlearning_balancer[oracle],0.0112,0.9995743450847018,1.1821763683138042,irm,2,10,10000,15,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9992267612860317,1.5934388885281594,irm,2,10,10000,15,0.0,index,10,uniform
Optimal_QLRU,0.0287,0.999078411961428,1.7396335566718002,irm,2,10,10000,13,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0072,0.9984302378164345,2.270665975001187,irm,2,10,10000,13,0.0,index,10,uniform
qlearning_balancer[lru],0.0092,0.9984417229185127,2.262339771608959,irm,2,10,10000,13,0.0,index,10,uniform
qlearning_balancer[oracle],0.0133,0.9985525202403724,2.180387632372412,irm,2,10,10000,13,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9983531729428483,2.3257653858272116,irm,2,10,10000,13,0.0,index,10,uniform
Optimal_QLRU,0.0083,0.9999714386514944,0.3062062522277298,irm,2,10,10000,22,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0083,0.9885468758557568,6.14351785509606,irm,2,10,10000,22,0.0,index,10,uniform
qlearning_balancer[lru],0.0117,0.9901515010921612,5.695385160642656,irm,2,10,10000,22,0.0,index,10,uniform
qlearning_balancer[oracle],0.0115,0.9891665708789961,5.974380638905125,irm,2,10,10000,22,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9882784144764126,6.215383343893449,irm,2,10,10000,22,0.0,index,10,uniform
Optimal_QLRU,0.0369,0.9997343308384568,0.9339259366058594,irm,2,10,10000,21,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0055,0.9967105823930671,3.2879145526745135,irm,2,10,10000,21,0.0,index,10,uniform
