q_f,delta_jfi
0.0,0.0
0.0,0.0
0.0,-0.09999999999999998
0.9999996559066814,0.06470588235294117
0.0,-0.038461538461538436
0.9999969171472509,0.05517241379310345
0.0,-0.020000000000000018
0.9999229139505917,0.04117647058823526
0.999837387084199,0.037931034482758696
0.9995284209024994,0.03330184222957011
0.0,-0.042203742203742234
0.9986918943509081,0.028865979381443307
0.9976432692946187,0.02630643441166014
0.9956680248615222,0.02365970299521769
0.9923159854358118,0.02116788321167884
0.9871106172785582,0.018918918918918948
0.9796348804496618,0.01693013768485463
0.0,-0.04543625848629618
0.9787347019211985,0.01674208144796374
0.0,-0.037931034482758696
0.9751253600750671,0.01606046291922536
0.9676720459168165,0.014920969441517329
0.0,-0.032786885245901676
0.0,-0.02729970326409492
0.9612673852213067,0.014135101194474475
0.9550408605018677,0.013486961795027286
0.9475806091555822,0.012819472616632854
0.0,-0.0252696773686949
0.9388743686080974,0.012151408703132915
0.9310305866509557,0.011626487641135164
0.9221202714235874,0.011098215581024196
0.9122042312753467,0.010577139007410752
0.9013478319975977,0.010070239434979977
0.8896226133092019,0.009581956507909162
0.8771060252570455,0.009114927344782031
0.0,-0.02379412487549959
0.8723994784436347,0.008951525307162922
0.0,-0.021722255912674404
0.8657500376085486,0.00873066011187551
0.0,-0.019882765857365148
0.0,-0.01804826862539355
0.856481122690459,0.008440385666256045
0.8479654942992076,0.008189772924824257
0.8388428270041424,0.007936413740922355
0.8291810840439278,0.007683266324359006
0.8190426581110651,0.007432582415934252
0.8084856024979182,0.00718605343656098
0.0,-0.017226604510066856
0.8013031245272698,0.0070259776278081
0.0,-0.01605392442198894
0.7930439649523053,0.006848908258038633
0.0,-0.014985853198478005
0.7838852368161726,0.006660633484162903
0.7754122311008763,0.006493429110529969
0.7665973035781719,0.006326043506102885
0.0,-0.014189462336612335
0.0,-0.01324226951089913
0.0,-0.012308447214383733
0.0,-0.011392671057218862
0.0,-0.01049898190304055
0.0,-0.009630801046164983
0.0,-0.008790955720716087
0.0,-0.007981712658344242
0.0,-0.007204817549645193
0.679374689170939,0.004945574320044388
0.0,-0.0067763305340095
0.6629876537822506,0.004728850928868988
0.0,-0.006383981550840412
0.0,-0.0057311480472852505
0.0,-0.005108243889264563
0.6008945315085208,0.003993606804186922
0.6087571352546701,0.004080116410290047
0.6150136442457308,0.004150206021398484
0.6198827575896239,0.00420554583125754
