algorithm,hit_rate,jfi,angle_degrees,traffic_type,num_servers,capacity,num_requests,run_id,skew_fraction,workload_mode
Optimal_QLRU,0.014,0.9999551962275635,0.38351571717791877,irm,2,10,10000,8,0.0,uniform
qlearning_balancer[qlearn],0.0064,0.9887979839580975,6.07554032333691,irm,2,10,10000,8,0.0,uniform
qlearning_balancer[lru],0.0089,0.9883361246106858,6.200003883943706,irm,2,10,10000,8,0.0,uniform
qlearning_balancer[oracle],0.0099,0.9870793877510503,6.526853529477158,irm,2,10,10000,8,0.0,uniform
qlearning_balancer[nocache],0.0,0.987678092016,6.373200179190802,irm,2,10,10000,8,0.0,uniform
Optimal_QLRU,0.024,0.9996749243057216,1.0330906104743185,irm,2,10,10000,11,0.0,uniform
qlearning_balancer[qlearn],0.0097,0.9863261288447251,6.715264479895334,irm,2,10,10000,11,0.0,uniform
qlearning_balancer[lru],0.0112,0.9882023960404377,6.235584891839407,irm,2,10,10000,11,0.0,uniform
qlearning_balancer[oracle],0.0112,0.9862943315914984,6.723103783305355,irm,2,10,10000,11,0.0,uniform
qlearning_balancer[nocache],0.0,0.9884194168643736,6.177740471194636,irm,2,10,10000,11,0.0,uniform
Optimal_QLRU,0.0058,0.9981328562924218,2.4765479787285996,irm,2,10,10000,14,0.0,uniform
qlearning_balancer[qlearn],0.0049,0.9597069607369401,11.579724451838622,irm,2,10,10000,14,0.0,uniform
qlearning_balancer[lru],0.0094,0.9715697324420303,9.707172599634253,irm,2,10,10000,14,0.0,uniform
qlearning_balancer[oracle],0.0099,0.9726974371443696,9.510878915738532,irm,2,10,10000,14,0.0,uniform
qlearning_balancer[nocache],0.0,0.9593553847223435,11.630836468765736,irm,2,10,10000,14,0.0,uniform
Optimal_QLRU,0.042,0.9993302983047174,1.4828998392342743,irm,2,10,10000,15,0.0,uniform
qlearning_balancer[qlearn],0.0073,0.999346737771784,1.4645820341192317,irm,2,10,10000,15,0.0,uniform
qlearning_balancer[lru],0.0097,0.9993465768251163,1.4647624796054535,irm,2,10,10000,15,0.0,uniform
qlearning_balancer[oracle],0.0117,0.999346606100318,1.464729659342144,irm,2,10,10000,15,0.0,uniform
qlearning_balancer[nocache],0.0,0.9991020666009875,1.71715583997917,irm,2,10,10000,15,0.0,uniform
Optimal_QLRU,0.0457,0.997810759965376,2.6818094265340795,irm,2,10,10000,12,0.0,uniform
qlearning_balancer[qlearn],0.0064,0.9998828790965436,0.6200808471026442,irm,2,10,10000,12,0.0,uniform
qlearning_balancer[lru],0.0106,0.9992659879005632,1.552484903383344,irm,2,10,10000,12,0.0,uniform
qlearning_balancer[oracle],0.0141,0.9987474940308081,2.0281647748896954,irm,2,10,10000,12,0.0,uniform
qlearning_balancer[nocache],0.0,0.9998828635374503,0.6201220351049597,irm,2,10,10000,12,0.0,uniform
Optimal_QLRU,0.0217,0.9999999059630875,0.017570002365690222,irm,2,10,10000,17,0.0,uniform
qlearning_balancer[qlearn],0.0026,0.9828650713764807,7.521629142935799,irm,2,10,10000,17,0.0,uniform
qlearning_balancer[lru],0.0093,0.9827688496663364,7.542841054783852,irm,2,10,10000,17,0.0,uniform
qlearning_balancer[oracle],0.0114,0.9814976290908133,7.817803488055751,irm,2,10,10000,17,0.0,uniform
qlearning_balancer[nocache],0.0,0.9828650713764537,7.521629142941776,irm,2,10,10000,17,0.0,uniform
Optimal_QLRU,0.0291,0.9992215130167632,1.5988387849552936,irm,2,10,10000,13,0.0,uniform
qlearning_balancer[qlearn],0.0051,0.9974670774996226,2.884809190226576,irm,2,10,10000,13,0.0,uniform
qlearning_balancer[lru],0.0092,0.9976145600016993,2.7994949994501415,irm,2,10,10000,13,0.0,uniform
qlearning_balancer[oracle],0.0127,0.9976930233766866,2.7530326074155216,irm,2,10,10000,13,0.0,uniform
qlearning_balancer[nocache],0.0,0.9975741478578254,2.8231278165437135,irm,2,10,10000,13,0.0,uniform
Optimal_QLRU,0.0319,0.9999628595250787,0.34917974797336415,irm,2,10,10000,18,0.0,uniform
qlearning_balancer[qlearn],0.0049,0.956033563312958,12.103702696129595,irm,2,10,10000,18,0.0,uniform
qlearning_balancer[lru],0.0088,0.9564757053931737,12.041772417766929,irm,2,10,10000,18,0.0,uniform
qlearning_balancer[oracle],0.0092,0.9564750511351154,12.041864280067387,irm,2,10,10000,18,0.0,uniform
qlearning_balancer[nocache],0.0,0.9570950950000947,11.954508090939543,irm,2,10,10000,18,0.0,uniform
Optimal_QLRU,0.0378,0.9998285506199003,0.7502448150762229,irm,2,10,10000,16,0.0,uniform
qlearning_balancer[qlearn],0.0083,0.999761694526239,0.8845184415153059,irm,2,10,10000,16,0.0,uniform
qlearning_balancer[lru],0.0114,0.9997616945261553,0.8845184416706545,irm,2,10,10000,16,0.0,uniform
qlearning_balancer[oracle],0.0105,0.9999999205083315,0.016154125207561203,irm,2,10,10000,16,0.0,uniform
qlearning_balancer[nocache],0.0,0.9999639873276359,0.3438372416074815,irm,2,10,10000,16,0.0,uniform
Optimal_QLRU,0.0127,0.9992909038014318,1.5259016773739427,irm,2,10,10000,19,0.0,uniform
qlearning_balancer[qlearn],0.012,0.9915292611486802,5.280783036490404,irm,2,10,10000,19,0.0,uniform
qlearning_balancer[lru],0.0111,0.9924207565150206,4.99442731237863,irm,2,10,10000,19,0.0,uniform
qlearning_balancer[oracle],0.0102,0.9915292614195336,5.280782951823511,irm,2,10,10000,19,0.0,uniform
qlearning_balancer[nocache],0.0,0.9929734415431133,4.808436431626499,irm,2,10,10000,19,0.0,uniform
Optimal_QLRU,0.0142,0.9998518435660662,0.6974187433463551,irm,2,10,10000,24,0.0,uniform
qlearning_balancer[qlearn],0.0126,0.9889969245029973,6.021148533525547,irm,2,10,10000,24,0.0,uniform
qlearning_balancer[lru],0.012,0.9892941686789231,5.938965528657254,irm,2,10,10000,24,0.0,uniform
qlearning_balancer[oracle],0.0112,0.9881887680967675,6.239199649959013,irm,2,10,10000,24,0.0,uniform
qlearning_balancer[nocache],0.0,0.988155680472929,6.247967446439345,irm,2,10,10000,24,0.0,uniform
Optimal_QLRU,0.0269,0.9995903249162867,1.15977052107043,irm,2,10,10000,25,0.0,uniform
qlearning_balancer[qlearn],0.0068,0.9762926348219985,8.85717831489221,irm,2,10,10000,25,0.0,uniform
qlearning_balancer[lru],0.0116,0.9764180039884249,8.8335401870887,irm,2,10,10000,25,0.0,uniform
